"Agency";"Country";"Budget (in millions of US $)";"Year";"Ref(s)"
"China National Space Administration";"China";"11000";"2018";"[217]"
"Indian Space Research Organisation";"India";"1760";"2020";"[218]"
"Japanese Aerospace Exploration Agency";"Japan";"1710";"2017";"[219]"
"Korean Aerospace Research Institute";"South Korea";"583";"2016";"[220]"
"Iranian Space Agency and Iranian Space Research Center";"Iran";"393";"2018";"[221]"
"National Institute of Aeronautics and Space";"Indonesia";"55";"2019";"[222][223]"
"Space and Upper Atmosphere Research Commission";"Pakistan";"43";"2019";"[224]"
"Philippine Space Agency";"Philippines";"38";"2019";"[225]"
"Israel Space Agency";"Israel";"14.5";"2019";"[226]"
"Turkish Space Agency";"Turkey";"4.3";"2019";"[227]"
