"Attribute";"Element";"Alternative solution";"Trident";"Gecko";"WebKit";"KHTML";"Presto"
"align";"caption, div, fieldset, h1, h2, h3, h4, h5, h6, hr, img, input, legend, p, object, table";"CSS";"3.1";"Yes";"Yes";"Yes";"Yes"
"alink";"body";"CSS";"3.1";"Yes";"No";"Yes";"Yes"
"background";"body";"CSS";"3.1";"Yes";"Yes";"Yes";"Yes"
"bgcolor";"body, table, tr, td, th";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"border";"img, object";"CSS";"3.1";"Yes";"Partial[note 8]";"Yes";"Yes"
"clear";"br";"CSS";"3.1";"Yes";"No";"Yes";"No"
"compact";"dl, ul, ol";"CSS";"3.1";"Yes";"No";"Yes";"No"
"color";"basefont, font";"CSS";"3.1";"Yes";"3.1";"Yes";"3.1"
"height";"td, th";"CSS";"3.1";"Yes";"Yes";"Yes";"Yes"
"hspace";"img, object";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"language";"script";"The type attribute";"3.1";"Yes";"No[citation needed]";"Yes";"Yes"
"link";"body";"CSS";"3.1";"Yes";"Yes";"Yes";"Yes"
"noshade";"hr";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"nowrap";"td, th";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"size";"basefont, font, hr";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"start";"ol";"None";"3.1";"Yes";"";"Yes";"Yes"
"text";"body";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"type";"li, ul, ol";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"version";"html";"DTD";"3.1";"Yes";"No";"Yes";"Yes"
"vlink";"body";"CSS";"3.1";"Yes";"Yes";"Yes";"Yes"
"width";"hr, pre, td, th";"CSS";"3.1";"Yes";"";"Yes";"Yes"
"vspace";"img, object";"CSS";"3.1";"Yes";"";"Yes";"Yes"
