"";"downcast";"upcast"
"ABAP Objects";"N/A";"N/A"
"C++ (STL)";"";"operator returntype() { instructions }"
"C#";"static explicit operator returntype(type operand) { instructions }";"static implicit operator returntype(type operand) { instructions }"
"D";"";"T opCast(T)() if (is(T == type)) { instructions }"
"eC";"";"property T { get { return «conversion code»; } }"
"Java";"N/A";"N/A"
"Objective-C";"N/A";"N/A"
"Eiffel[35]";"N/A";"N/A"
"Python";"N/A";"N/A"
"Visual Basic .NET";"N/A";"N/A"
"PHP";"N/A";"N/A"
"Perl";"N/A";"N/A"
"Raku";"N/A";"N/A"
"Ruby";"N/A";"N/A"
"Windows PowerShell";"N/A";"N/A"
"OCaml";"N/A";"N/A"
"F#";"N/A";"N/A"
"COBOL";"N/A";"N/A"
