"";"Get object type";"Is instance of (includes subtypes)";"Upcasting";"Downcasting Runtime check";"Downcasting No check"
"ABAP Objects";"N/A[71]";"N/A[71]";"=";"?=";""
"C++ (STL)";"typeid(x)";"dynamic_cast<type *>(&x) != nullptr";"N/A[72]";"dynamic_cast<type*>(ptr)";"(type*) ptr or static_cast<type*>(ptr)"
"C#";"x.GetType()";"x is type";"N/A[72]";"(type) x or x as type";""
"D";"typeid(x)";"";"N/A[72]";"cast(type) x";""
"Delphi";"";"x is type";"N/A[72]";"x as type";""
"eC";"x._class";"eClass_IsDerived(x._class, type)";"N/A[72]";"";"(type) x"
"Java";"x.getClass()";"x instanceof class";"N/A[72]";"(type) x";""
"Objective-C (Cocoa)";"[x class][73]";"[x isKindOfClass:[class class]]";"N/A[72]";"";"(type*) x"
"Swift";"x.dynamicType";"x is type";"N/A[72]";"x as! type x as? type";""
"JavaScript";"x.constructor (If not rewritten.)";"x instanceof class";"N/A[72]";"N/A[74]";"N/A[74]";"N/A[74]"
"Visual Basic .NET";"x.GetType()";"TypeOf x Is type";"N/A[72]";"N/A[72]";"CType(x, type) or TryCast(x, type)"
"Xojo";"Introspection.GetType(x)";"x IsA type";"N/A[72]";"N/A";"CType(x, type)"
"Eiffel";"x.generating_type";"attached {TYPE} x";"N/A[72]";"attached {TYPE} x as down_x";""
"Python";"type(x)";"isinstance(x, type)";"N/A[72]";"N/A[74]";"N/A[74]";"N/A[74]"
"PHP";"get_class(x)";"x instanceof class";"N/A[72]";"N/A[74]";"N/A[74]"
"Perl";"ref(x)";"x->isa(""class"")";"N/A[72]";"N/A[74]";"N/A[74]"
"Raku";"x.WHAT";"x.isa(class)";"N/A[72]";"N/A[74]";"N/A[74]"
"Ruby";"x.class";"x.instance_of?(type) or x.kind_of?(type)";"N/A[72]";"N/A[74]";"N/A[74]"
"Smalltalk";"x class";"x isKindOf: class";"N/A[72]";"N/A[74]";"N/A[74]"
"Windows PowerShell";"x.GetType()";"x -is [type]";"N/A[72]";"N/A[74]";"N/A[74]"
"OCaml";"N/A[75]";"N/A[75]";"(x :> type)";"N/A[72]";"N/A[74]"
"F#";"x.GetType()";"(x :> type)";"N/A[72]";"N/A[74]";"N/A[74]"
"COBOL";"N/A";"N/A";"(x :> type)";"N/A[72]";"N/A[74]"
