"Symbol";"Languages"
"comment ~ ;";"ALGOL 60, SIMULA"
"¢ ~ ¢, # ~ #, co ~ co, comment ~ comment";"ALGOL 68[13][14]"
"/* ~ */";"ActionScript, AutoHotkey, C, C++, C#, D,[15] Go, Java, JavaScript, kotlin, Objective-C, PHP, PL/I, Prolog, Rexx, Rust (can be nested), Scala (can be nested), SAS, SASS, SQL, Swift (can be nested), Visual Prolog, CSS"
"#cs ~ #ce";"AutoIt[16]"
"/+ ~ +/";"D (can be nested)[15]"
"/# ~ #/";"Cobra (can be nested)"
"<# ~ #>";"Powershell"
"<!-- ~ -->";"HTML, XML"
"=begin ~ =cut";"Perl"
"#`( ~ )";"Raku (bracketing characters can be (), <>, {}, [], any Unicode characters with BiDi mirrorings, or Unicode characters with Ps/Pe/Pi/Pf properties)"
"=begin ~ =end";"Ruby"
"#<TAG> ~ #</TAG>, #stop ~ EOF, #iffalse ~ #endif, #ifntrue ~ #endif, #if false ~ #endif, #if !true ~ #endif";"S-Lang[17]"
"{- ~ -}";"Haskell (can be nested)"
"(* ~ *)";"Delphi, ML, Mathematica, Object Pascal, Pascal, Seed7, Applescript, OCaml (can be nested), Standard ML (can be nested), Maple, Newspeak, F#"
"{ ~ }";"Delphi, Object Pascal, Pascal, Red"
"{# ~ #}";"Nunjucks, Twig"
"{{! ~ }}";"Mustache, Handlebars"
"{{!-- ~ --}}";"Handlebars (cannot be nested, but may contain {{ and }})"
"|# ~ #|";"Curl"
"%{ ~ %}";"MATLAB[12] (the symbols must be in a separate line)"
"#| ~ |#";"Lisp, Scheme, Racket (can be nested in all three)."
"#[ ~ ]#";"Nim[18]"
"--[[ ~ ]], --[=[ ~ ]=], --[=...=[ ~ ]=...=]";"Lua (brackets can have any number of matching = characters; can be nested within non-matching delimiters)"
""" ~ """;"Smalltalk"
"(comment ~ )";"Clojure"
