"Graphics";"Launch";"Market";"Processor";"Code name";"Device ID[3]";"Core clock (MHz)";"Core config1";"API support[13][32][33][34] Direct3D";"API support[13][32][33][34] OpenGL[24]";"API support[13][32][33][34] OpenCL";"API support[13][32][33][34] Vulkan";"Memory bandwidth (GB/s)";"DVMT (MB)";"QSV"
"HD Graphics";"2012";"Desktop";"Celeron G16x0 Celeron G1610T Pentium G2xx0 Pentium G2xx0T";"Ivy Bridge";"015A";"650–1050";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"1.2";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Mobile";"Celeron 10x0M Celeron 10x7U Pentium 2117U Pentium 20x0M";"Ivy Bridge";"015A";"350–1100";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"1.2";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"HD Graphics 2500[36]";"Workstation";"HD Graphics 2500[36]";"015A";"Xeon E3-1265LV2";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"1.2";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Desktop";"Core i3-32x0 Core i3-32x0T Core i5-3xx0 Core i5-3xx0S Core i5-3xx0T";"Desktop";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"1.2";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"HD Graphics 4000[28]";"Core i3-3225 Core i3-3245 Core i5-3475S Core i5-3570K Core i7-3770 Core i7-3770x";"HD Graphics 4000[28]";"015A";"0162";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0162";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Mobile";"Core i3-3110M";"Mobile";"015A";"0166";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Core i3-3120M Core i5-3210M";"650–1100";"Mobile";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Core i3-3120ME";"650–900";"Mobile";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Core i3-3217U Core i5-3317U";"350–1050";"Mobile";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Core i3-3217UE";"350–900";"Mobile";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Core i3-3229Y Core i5-3339Y Core i5-3439Y";"350–850";"Mobile";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Core i5-33x0M";"650–1200";"Mobile";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
"HD Graphics";"2012";"Core i5-3337U";"350–1100";"Mobile";"015A";"";"48:6:1[35] (GT1)";"11.1 FL11_0";"4.0Windows 4.1macOS 4.2Linux ES 3.0Linux";"0166";"1.0Linux";"25.6";"1720";"No"
